Book Name,Author,Rating,Number of Reviews,Price,cleaned_description,Listening Time (minutes),Rank,Genre
Think Like A Monk: The Secret Of How To Harness The Power Of Positivity And Be Happy Now,Jay Shetty,4.9,313,10080,"over the past three years, jay shetty has become one of the worlds most popular influencers. one of his clips was the most watched video on facebook last year, with more than 360 million views. his social media following totals more than 32 million, he has produced more than 400 viral videos which have amassed more than five billion views, and his podcast, on purpose, is consistently ranked the worlds number one healthrelated podcast.",654,1,Self-Help
Life'S Amazing Secrets: How To Find Balance And Purpose In Your Life,Gaur Gopal Das,4.6,4302,1005,"stop going through life, start growing through life!",385,6,Self-Help
Sapiens,Yuval Noah Harari,4.6,19994,1093,fire gave us power. farming made us hungry for more. money gave us purpose. science made us deadly.,918,4,History
Extraordinary Leadership,Robin Sharma,4.1,179,0,"by completing your purchase you agree to audibles conditions of use, amazon's privacy notice and if applicable audible's recurring payment terms.",66,1,Business
The Intelligent Investor Rev Ed.,Benjamin Graham,4.4,9253,18290,the classic text annotated to update graham's timeless wisdom for today's market conditions,1068,7,Finance
The 5Am Club: Own Your Morning. Elevate Your Life.,Robin Sharma,4.4,5082,8735,"legendary leadership and elite performance expert robin sharma introduced the 5am club concept over 20 years ago, based on a revolutionary morning routine that has helped his clients maximise their productivity, activate their best health and bulletproof their serenity in this age of overwhelming complexity.",664,8,Audible Audiobooks & Originals
Influence: The Psychology Of Persuasion,Robert B. Cialdini,4.4,3766,12356,"influence, the classic book on persuasion, explains the psychology of why people say yes and how to apply these understandings.",606,11,Audible Audiobooks & Originals
Dream With Your Eyes Open: An Entrepreneurial Journey,Ronnie Screwvala,3.6,43,0,"utv founder and pioneer of the media industry ronnie screwvala is one of indias most successful firstgeneration entrepreneurs. an avid philanthropist, he has penned dream with your eyes open an entrepreneurial journey as one of the most inspiring entrepreneurial selfhelp books. pictured relaxed and content on the cover page of the book, screwvala provides a relentless pursuit of entrepreneurial glory and describes how others can learn from the same.",439,2,Audible Audiobooks & Originals
The Sandman,Neil Gaiman,5.0,1,1171,"please note this content is not for kids. it is for mature audiences only. just like the original graphic novels, this audio adaptation contains explicit language and graphic violence, as well as strong sexual content and themes. discretion is advised.",654,16,Audible Audiobooks & Originals
Just Do It: The Nike Spirit In The Corporate World,Donald Katz,4.0,37,0,"the protagonist of just do it is phil knight, a reclusive billionaire who started a twoman operation importing japanese running shoes and built it into a 4 billion company. irreverent, unpredictable, and leery of the sports establishment, knight created the most muscular jock culture in business, a place where employees routinely took two hours at lunch to work out and then strategized late into the night in their holy war against competitors reebok and adidas. to outsiders, nike was a cult. insiders believed they were furthering the company's mission to improve the performance of serious athletes.",840,3,Audible Audiobooks & Originals
Becoming,Michelle Obama,4.6,13848,1093,penguin presents the audiobook edition of becoming by michelle obama.,1143,12,Audible Audiobooks & Originals
The Warren Buffett Way: 3Rd Edition,Robert Hagstrom,4.2,72,1005,"warren buffett remains one of the most soughtafter and watched figures in business today. he has become a billionaire and investment sage by buying chunks of companies and holding onto them, managing them as businesses, and eventually reaping huge profits for himself and investors in berkshire hathaway. the first two editions of the warren buffett way gave investors their first indepth look at the innovative investment and business strategies behind the spectacular success of living legend warren e. buffett. tracing warren buffett's career from the beginning, hagstrom told listeners exactly how, starting with an initial investment of only 100 buffett built a business empire and has an estimated net worth of 44 billion. the third edition of the warren buffett way will focus on the timeless principles and strategies behind buffett's extraordinary investment success. there will be new chapters on the important distinctions between investment and trading and an examination of the most successful disciples of warren buffett. some less important material will be deleted and the overall focus will be to create an edition that will stand the test of time, distilling buffett's success formula in a way that will provide value to listeners for decades to come.",631,17,Audible Audiobooks & Originals
Secrets Of The Millionaire Mind: Mastering The Inner Game Of Wealth,T. Harv Eker,4.6,949,10378,secrets of the millionaire mind reveals the missing link between wanting success and achieving it!,310,21,Self-Help
"Let'S Talk Money: You'Ve Worked Hard For It, Now Make It Work For You",Monika Halan,4.4,419,668,"we work hard to earn our money. but regardless of how much we earn, the money worry never goes away. bills, rent, emis, medical costs, vacations, kids' education and, somewhere at the back of the head, the niggling thought about being underprepared for our own retirement.",356,19,Audible Audiobooks & Originals
The Monk Who Sold His Ferrari,Robin Sharma,4.6,7573,351,"author robin sharma reads this international bestseller, allowing you to gain the wisdom and lessons from the original book while you commute. this abridged audiobook is one of sharma leadership international's alltime bestselling audio products.",160,22,Self-Help
The Power Of Your Subconscious Mind,Joseph Murphy,4.5,18330,99,"the power of your subconscious mind will open a world of success, happiness, prosperity, and peace for you. it is one of the most brilliant and beloved spiritual selfhelp works of all time which can help you heal yourself, banish your fears, sleep better, enjoy better relationships and just feel happier. the techniques are simple and results come quickly. you can improve your relationships, your finances, your physical wellbeing.",433,30,Audible Audiobooks & Originals
Can'T Hurt Me: Master Your Mind And Defy The Odds,David Goggins,4.8,11213,836,"for david goggins, childhood was a nightmare poverty, prejudice, and physical abuse colored his days and haunted his nights. but through selfdiscipline, mental toughness, and hard work, goggins transformed himself from a depressed, overweight young man with no future into a us armed forces icon and one of the world's top endurance athletes. the only man in history to complete elite training as a navy seal, army ranger, and air force tactical air controller, he went on to set records in numerous endurance events, inspiring outside magazine to name him the fittest real man in america.",817,35,Audible Audiobooks & Originals
"Harry Potter And The Philosopher'S Stone, Book 1",J.K. Rowling,4.7,11864,999,"turning the envelope over, his hand trembling, harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'h'.",573,29,Audible Audiobooks & Originals
