Book_Name,Author,Rating,Number_of_Reviews,Price,Description_Clean,Listening_Time_Minutes,Genres,Rating_Category,Price_Category,Length_Category,Popularity_Score,Description_Length,Data_Source,Description_Processed,Title_Processed,Genres_Text,Combined_Text,Cluster_KMeans,Cluster_DBSCAN,PCA_1,PCA_2,TSNE_1,TSNE_2
#Girlboss,Sophia Amoruso,4.5,2272,615.0,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",490.0,[],Excellent,Medium-Low,Long,7.7288556,122,both,sorry need make sure robot best result please make sure browser accepting cooky,girlboss,,girlboss sorry need make sure robot best result please make sure browser accepting cooky,2,0,-0.1921554316105642,-3.9098960602946997,-24.63813,-62.496452
"#TheRealCinderella: #BestFriendsForever Series, Book 1",Yesenia Vargas,4.3,179,586.0,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",490.0,[],Very Good,Medium-Low,Long,5.192957,228,both,oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,therealcinderella bestfriendsforever,,therealcinderella bestfriendsforever oops rush hour traffic piling please try short trying place order processed time amazon home continue shopping,2,0,-3.4150778513693267,16.83657629358149,-26.503607,62.491047
10 Bedtime Stories For Little Kids,div.,4.5,0,376.0,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",490.0,[],Excellent,Low,Long,0.0,146,both,completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,bedtime story little kid,,bedtime story little kid completing purchase agree audible condition use amazon privacy notice applicable audible recurring payment term,2,0,0.764059936653175,-3.8198744897988943,28.875109,-53.455784
10 Essential Pieces of Literature,Khalil Gibran,4.5,0,32.0,This Audiobook contains the following works:,5264.0,"['Audible Audiobooks & Originals', 'Classic Literature', 'Classic Fiction']",Excellent,Low,Very Long,0.0,44,both,contains following work,essential piece literature,audible audiobooks original classic literature classic fiction,essential piece literature contains following work audible audiobooks original classic literature classic fiction,2,0,0.11684507508469234,-2.301861336907776,-28.399157,3.9487798
10 Essential Success Mantras from the Bhagavad Gita (Rupa Quick Reads),Vimla Patil,4.2,45,233.0,"For thousands of years, the Bhagavad Gita has inspired millions of saints, leaders, scientists, philosophers and ordinary people around the world. In this quick read, Vimla Patil draws valuable success mantras from the philosophical text that are sure to take your life to the next level.",26.0,"['076 in Audible Audiobooks & Originals', 'Hinduism', 'Forecasting & Strategic Planning', 'Leadership']",Very Good,Low,Short,3.8286414,288,both,thousand year bhagavad gita inspired million saint leader scientist philosopher ordinary people around world quick vimla patil draw valuable success mantra philosophical text sure take life next level,essential success mantra bhagavad gita rupa quick read,audible audiobooks original hinduism forecasting strategic planning leadership,essential success mantra bhagavad gita rupa quick read thousand year bhagavad gita inspired million saint leader scientist philosopher ordinary people around world quick vimla patil draw valuable success mantra philosophical text sure take life next level audible audiobooks original hinduism forecasting strategic planning leadership,2,0,0.46912110882660946,-1.8895719710850192,44.49531,-22.039524
10 Masterpieces You Have to Read Before You Die 1,Jane Austen,4.4,344,401.0,This Audiobook contains the following works :,6139.0,"['485 in Audible Audiobooks & Originals', 'Caribbean & Latin American Literature', 'English', 'Irish', 'Scottish & Welsh Literature', 'Classic Literature']",Very Good,Low,Very Long,5.8435445,45,both,contains following work,masterpiece die,audible audiobooks original caribbean latin american literature english irish scottish welsh literature classic literature,masterpiece die contains following work audible audiobooks original caribbean latin american literature english irish scottish welsh literature classic literature,2,0,0.18309888682945843,-2.2515982010379756,-28.00335,2.997686
10 Minutes 38 Seconds in This Strange World,Elif Shafak,4.5,520,752.0,Shortlisted for the Booker Prize 2019,551.0,"['Audible Audiobooks & Originals', 'Friendship Fiction', ""Women's Fiction"", 'Political Fiction']",Excellent,Medium-High,Long,6.25575,37,both,shortlisted booker prize,minute second strange world,audible audiobooks original friendship fiction woman fiction political fiction,minute second strange world shortlisted booker prize audible audiobooks original friendship fiction woman fiction political fiction,2,0,0.09958358426781268,-1.9989324698840034,-13.265273,13.222851
10 Skills for Effective Business Communication: Practical Strategies from the World's Greatest Leaders,Jessica Higgins JD MBA BB,4.6,45,501.0,Succeed in business with practical career strategies and communication skills from the world’s greatest leaders in 10 Skills for Effective Business Communication.,490.0,[],Excellent,Low,Long,3.8286414,162,both,succeed business practical career strategy communication skill world greatest leader skill effective business communication,skill effective business communication practical strategy world greatest leader,,skill effective business communication practical strategy world greatest leader succeed business practical career strategy communication skill world greatest leader skill effective business communication,2,0,-0.016063134301442256,-1.2347727444744534,35.327126,-0.3600558
100 Baggers: Stocks That Return 100-to-1 and How to Find Them,Christopher W. Mayer,4.5,178,668.0,"This book is about 100-baggers. These are stocks that return $100 for every $1 invested. That means a $10,000 investment turns into $1 million. Chris Mayer can help you find them.",379.0,"['004 in Audible Audiobooks & Originals', 'Money & Finance', '461 in Business & Economics']",Excellent,Medium-Low,Medium,5.187386,179,both,bagger stock return every invested mean investment turn million chris mayer help find,bagger stock return find,audible audiobooks original money finance business economics,bagger stock return find bagger stock return every invested mean investment turn million chris mayer help find audible audiobooks original money finance business economics,2,0,0.09714232038855845,-1.9687074942398768,48.145535,-1.9727418
1000+ Little Things Happy Successful People Do Differently,Marc Chernoff,4.7,210,1005.0,New York Times best-selling authors Marc and Angel Chernoff deliver instant inspiration and powerful advice for becoming our best selves.,530.0,"['Audible Audiobooks & Originals', 'Personal Success', '706 in Personal Development & Self-Help']",Excellent,High,Long,5.351858,137,advanced_only,new york time best selling author marc angel chernoff deliver instant inspiration powerful advice becoming best self,little thing happy successful people differently,audible audiobooks original personal success personal development self help,little thing happy successful people differently new york time best selling author marc angel chernoff deliver instant inspiration powerful advice becoming best self audible audiobooks original personal success personal development self help,2,0,0.21498849536433334,-2.6133883770838517,50.65333,14.765203
